id,roll_no,mentor,trigger,playbook,approved_by_mentor,created_at,followup_at,status,outcome
IV00001,21EEE0102,Dr. S. Rao,fee_pressure,Scholarship / instalment referral,1,2025-09-22,2025-10-13,closed,improved
IV00002,21BIO0002,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-09-08,2025-09-29,closed,improved
IV00003,23AER0104,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-08-18,2025-09-08,closed,improved
IV00004,22ECE20002,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-10-20,2025-11-10,closed,improved
IV00005,23CHE0120,Dr. S. Rao,backlog_burden,Backlog clearing plan + peer mentor,1,2025-09-01,2025-09-22,closed,improved
IV00006,22MEC20023,Dr. K. Fernandes,fee_pressure,Scholarship / instalment referral,1,2025-11-10,2025-12-01,closed,improved
IV00007,21CSE20001,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-10-20,2025-11-10,closed,worsened
IV00008,23CIV20033,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-09-01,2025-09-22,closed,improved
IV00009,22MET0104,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-08-04,2025-08-25,closed,unchanged
IV00010,21BIO0065,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-08-04,2025-08-25,closed,unchanged
IV00011,23IT0015,Prof. M. Iyer,fee_pressure,Scholarship / instalment referral,1,2025-09-15,2025-10-06,closed,unchanged
IV00012,23CIV20065,Prof. M. Iyer,backlog_burden,Backlog clearing plan + peer mentor,1,2025-11-17,2025-12-08,closed,improved
IV00013,21BIO0001,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-09-08,2025-09-29,closed,improved
IV00014,22CHE0107,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-08-04,2025-08-25,closed,improved
IV00015,22CHE0034,Prof. A. Bose,low_submission,Assignment catch-up plan,1,2025-10-06,2025-10-27,closed,improved
IV00016,21MEC0089,Dr. K. Fernandes,assessment_decline,Subject remedial slot,1,2025-09-29,2025-10-20,closed,improved
IV00017,23EEE0078,Prof. A. Bose,assessment_decline,Subject remedial slot,1,2025-11-10,2025-12-01,closed,improved
IV00018,23CHE0057,Prof. M. Iyer,low_submission,Assignment catch-up plan,1,2025-11-10,2025-12-01,closed,improved
IV00019,21ECE20108,Dr. S. Rao,sudden_disengagement,15-minute check-in call,1,2025-10-13,2025-11-03,closed,improved
IV00020,22CHE0103,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-10-13,2025-11-03,closed,improved
IV00021,21ECE20094,Prof. A. Bose,chronic_low_attendance,Weekly attendance contract,1,2025-10-20,2025-11-10,closed,improved
IV00022,22EEE0071,Prof. A. Bose,fee_pressure,Scholarship / instalment referral,1,2025-08-25,2025-09-15,closed,improved
IV00023,22CIV20108,Prof. M. Iyer,chronic_low_attendance,Weekly attendance contract,1,2025-11-03,2025-11-24,closed,improved
IV00024,23EEE0047,Prof. M. Iyer,assessment_decline,Subject remedial slot,1,2025-11-24,2025-12-15,closed,improved
IV00025,22CSE20120,Dr. K. Fernandes,sudden_disengagement,15-minute check-in call,1,2025-11-24,2025-12-15,closed,unchanged
IV00026,21MET0081,Dr. S. Rao,chronic_low_attendance,Weekly attendance contract,1,2025-10-06,2025-10-27,closed,unreachable
IV00027,22MET0079,Dr. K. Fernandes,chronic_low_attendance,Weekly attendance contract,1,2025-08-25,2025-09-15,closed,worsened
IV00028,23ECE0100,Dr. S. Rao,assessment_decline,Subject remedial slot,1,2025-08-11,2025-09-01,closed,improved
